
1.195250566s,1,localhost:5685,calcPrimeNumber
1.298070707s,1,localhost:5685,calcPrimeNumber
1.299144067s,1,localhost:5685,calcPrimeNumber
798.312µs,1,localhost:5685,calcPrimeNumber
561.582µs,1,localhost:5685,calcPrimeNumber
818.393µs,1,localhost:5685,calcPrimeNumber
614.508µs,1,localhost:5685,calcPrimeNumber
325.844µs,1,localhost:5685,calcPrimeNumber
445.301µs,1,localhost:5685,calcPrimeNumber
383.741µs,1,localhost:5685,calcPrimeNumber
387.439µs,1,localhost:5685,calcPrimeNumber
318.054µs,1,localhost:5685,calcPrimeNumber
452.828µs,1,localhost:5685,calcPrimeNumber
355.025µs,1,localhost:5685,calcPrimeNumber
312.91µs,1,localhost:5685,calcPrimeNumber
482.897µs,1,localhost:5685,calcPrimeNumber
416.47µs,1,localhost:5685,calcPrimeNumber
460.763µs,1,localhost:5685,calcPrimeNumber
416.745µs,1,localhost:5685,calcPrimeNumber
313.379µs,1,localhost:5685,calcPrimeNumber
326.17µs,1,localhost:5685,calcPrimeNumber
407.579µs,1,localhost:5685,calcPrimeNumber
419.876µs,1,localhost:5685,calcPrimeNumber
337.422µs,1,localhost:5685,calcPrimeNumber
387.272µs,1,localhost:5685,calcPrimeNumber
440.194µs,1,localhost:5685,calcPrimeNumber
458.963µs,1,localhost:5685,calcPrimeNumber
444.759µs,1,localhost:5685,calcPrimeNumber
427.177µs,1,localhost:5685,calcPrimeNumber
457.992µs,1,localhost:5685,calcPrimeNumber
369µs,1,localhost:5685,calcPrimeNumber
491.317µs,1,localhost:5685,calcPrimeNumber
955.909µs,1,localhost:5685,calcPrimeNumber
593.858µs,1,localhost:5685,calcPrimeNumber
371.684µs,1,localhost:5685,calcPrimeNumber
450.611µs,1,localhost:5685,calcPrimeNumber
465.779µs,1,localhost:5685,calcPrimeNumber
410.36µs,1,localhost:5685,calcPrimeNumber
419.256µs,1,localhost:5685,calcPrimeNumber
373.06µs,1,localhost:5685,calcPrimeNumber
568.926µs,1,localhost:5685,calcPrimeNumber
400.709µs,1,localhost:5685,calcPrimeNumber
498.968µs,1,localhost:5685,calcPrimeNumber
603.125µs,1,localhost:5685,calcPrimeNumber
467.875µs,1,localhost:5685,calcPrimeNumber
444.161µs,1,localhost:5685,calcPrimeNumber
429.087µs,1,localhost:5685,calcPrimeNumber
451.651µs,1,localhost:5685,calcPrimeNumber
558.292µs,1,localhost:5685,calcPrimeNumber
354.271µs,1,localhost:5685,calcPrimeNumber
457.884µs,1,localhost:5685,calcPrimeNumber
423.623µs,1,localhost:5685,calcPrimeNumber
450.417µs,1,localhost:5685,calcPrimeNumber
